"Year","National.Class.Rank","Conference.Class.Rank","Name","Position","Height","Weight","School","City","State","Footprint","Composite.Rating","Star_Rating","National.Recruit.Rank","Position.Recruit.Rank","State.Recruit.Rank","All.ACC","All.American"
2017,58,12,"John Kirven","TE",78,240,"Woodberry Forest","Woodberry Forest","VA",1,0.8183,3,0,82,37,0,0
2017,58,12,"Elliott Brown","OLB",78,215,"The Taft School","Watertown","CT",2,0.8153,3,0,120,12,0,0
2017,58,12,"PK Kier","RB",71,200,"Millbrook","Winchester","VA",1,0.8143,3,0,99,38,0,0
2017,58,12,"Joey Blount","ATH",74,185,"Landmark Christian School","Fairburn","GA",2,0.81,3,0,128,196,0,0
2017,58,12,"Zachariah Burton","CB",72,180,"William Penn","New Castle","DE",1,0.8096,3,0,192,4,0,0
2017,58,12,"Isaac Buell","SDE",76,268,"Knoxville Central","Knoxville","TN",1,0.8081,3,0,92,45,0,0
2017,58,12,"Darrius Bratton","CB",73,160,"Fork Union Military Academy","Fork Union","VA",1,0.7989,3,4,2,2,0,0
2017,58,12,"Darnell Pratt Jr.","WR",75,170,"Good Counsel","Olney","MD",1,0.7939,2,0,326,36,0,0
2017,58,12,"Brian Delaney","K",71,200,"Westfield","Chantilly","VA",1,0.7877,2,0,21,51,0,0
2017,58,12,"Victor Oluwatimi","OG",76,275,"DeMatha Catholic","Hyattsville","MD",1,0.7667,2,0,160,48,0,0
2018,59,11,"Noah Taylor","OLB",76.5,200,"The Avalon School","Bethesda","MD",1,0.8727,3,599,40,15,0,0
2018,59,11,"Brennan Armstrong","DUAL",73.5,210,"Shelby","Shelby","OH",1,0.871,3,619,20,27,0,0
2018,59,11,"Javar Garrett","OLB",74,205,"The Peddie School","Hightstown","NJ",1,0.8675,3,684,43,18,0,0
2018,59,11,"Jaylon Baker","CB",74,170,"Baylor School","Chattanooga","TN",1,0.8606,3,804,69,25,0,0
2018,59,11,"Cassius Peat","SDE",76,280,"Scottsdale C.C.","Scottsdale","AZ",3,0.8578,3,76,4,9,0,0
2018,59,11,"Bryce Perkins","DUAL",74,215,"Arizona Western College","Yuma","AZ",3,0.855,3,83,6,10,1,0
2018,59,11,"Ugo Obasi","WR",73,170,"Milford Mill Academy","Gwynn Oak","MD",1,0.8527,3,0,147,22,0,0
2018,59,11,"Wooby Theork-Youmans","WR",70,163,"Naples","Naples","FL",2,0.8493,3,0,162,161,0,0
2018,59,11,"Tavares Kelly","WR",68,160,"St. Thomas Aquinas","Fort Lauderdale","FL",2,0.8473,3,0,171,173,0,0
2018,59,11,"Samson Reed","WDE",75,252,"Kahuku","Kahuku","HI",3,0.8473,3,0,64,5,0,0
2018,59,11,"Grant Misch","OLB",76,232,"Potomac Falls","Sterling","VA",1,0.8465,3,0,79,23,0,0
2018,59,11,"Joseph White","S",74,175,"Landstown","Virginia Beach","VA",1,0.8464,3,0,94,24,0,0
2018,59,11,"Jordan Redmond","DT",72,292,"Osceola","Kissimmee","FL",2,0.846,3,0,79,185,0,0
2018,59,11,"Bobby Haskins","TE",79,250,"Hun School ","Princeton","NJ",1,0.8431,3,0,55,32,0,0
2018,59,11,"Martin Weisz","OT",78,305,"The Benjamin School","North Palm Beach","FL",2,0.841,3,0,121,210,0,0
2018,59,11,"TC Harrison","OLB",75,199,"Collins Hill","Suwanee","GA",2,0.8376,3,0,100,139,0,0
2018,59,11,"Hunter Pearson","K",76,192,"Seneca","Seneca","SC",1,0.8318,3,0,2,30,0,0
2018,59,11,"Joseph Bissinger","OT",76,297,"Memorial","Houston","TX",3,0.8264,3,0,146,238,0,0
2018,59,11,"Aaron Faumui","DT",75,285,"Kapolei","Kapolei","HI",3,0.8254,3,0,116,10,0,0
2018,59,11,"Micah Mariteragi","OT",77,265,"Kahuku","Kahuku","HI",3,0.8227,3,0,153,11,0,0
2018,59,11,"Billy Kemp","WR",69,170,"Highland Springs","Highland Springs","VA",1,0.8153,3,0,285,38,0,0
2018,59,11,"Derek Devine","OT",78,275,"North Allegheny","Wexford","PA",1,0.8153,3,0,166,41,0,0
2019,39,7,"Jowon Briggs","DT",74,295,"Walnut Hills","Cincinnati","OH",1,0.9667,4,75,7,2,0,0
2019,39,7,"Hunter Stewart","OLB",75,225,"Gonzaga ","Washington","DC",1,0.8808,3,515,31,5,0,0
2019,39,7,"Nick Jackson","OLB",73.5,225,"Lovett School","Atlanta","GA",2,0.8776,3,551,35,58,0,0
2019,39,7,"Ben Smiley","DT",76,265,"Indian River","Chesapeake","VA",1,0.8763,3,566,41,16,0,0
2019,39,7,"Ja'quay Hubbard","OT",78,320,"Sharpsville Area","Sharpsville","PA",1,0.8762,3,570,42,10,0,0
2019,39,7,"Dontayvion Wicks","WR",74,202,"Plaquemine","Plaquemine","LA",3,0.8694,3,679,88,24,0,0
2019,39,7,"Seneca Milledge","APB",66,155,"Dunbar","Fort Myers","FL",2,0.8689,3,688,8,85,0,0
2019,39,7,"Mike Hollins","RB",70,205,"University Lab","Baton Rouge","LA",3,0.8626,3,829,51,26,0,0
2019,39,7,"D'Sean Perry","WDE",75,225,"Gulliver Prep","Miami","FL",2,0.8614,3,847,54,111,0,0
2019,39,7,"Nathaniel Beal III","WR",77,205,"Strake Jesuit","Houston","TX",3,0.8601,3,869,106,115,0,0
2019,39,7,"Antonio Clary","ATH",72,200,"Sandalwood","Jacksonville","FL",2,0.8573,3,928,65,124,0,0
2019,39,7,"Antonio Clary","OT",78,281,"Sandalwood","Jacksonville","FL",2,0.8573,3,928,65,124,0,0
2019,39,7,"Fentrell Cypress","CB",72,170,"Northwestern","Rock Hill","SC",1,0.8567,3,951,91,18,0,0
2019,39,7,"Josh Ahern","ILB",75,217,"Lake Braddock","Burke","VA",1,0.8485,3,0,52,28,0,0
2019,39,7,"Kariem Al Soufi","OG",76,330,"Paderborn Dolphins","Germany","GER",3,0.8432,3,0,66,2,0,0
2019,39,7,"Zachary Teter","OT",77,290,"Lake Gibson","Lakeland","FL",2,0.8405,3,0,112,189,0,0
2019,39,7,"Major Williams","CB",73,170,"Dunbar","Fort Myers","FL",2,0.8383,3,0,142,196,0,0
2019,39,7,"Dorien Goddard","WR",75,208,"Greeneville","Greeneville","TN",1,0.8364,3,0,175,46,0,0
2019,39,7,"Luke Wentz","DUAL",75,205,"Paderborn Dolphins","Germany","GER",3,0.8357,3,0,33,3,0,0
2019,39,7,"Jonathan Leech","OT",77,275,"Mill Creek","Hoschton","GA",2,0.8336,3,0,134,145,0,0
2019,39,7,"Chayce Chalmers","S",73,205,"Stonewall Jackson","Manassas","VA",1,0.8335,3,0,132,33,0,0
2019,39,7,"RJ Harvey Jr.","DUAL",70,182,"Edgewater","Orlando","FL",2,0.8317,3,0,39,223,0,0
2019,39,7,"Jairus Satiu","OLB",75,185,"Skyridge","Lehi","UT",3,0.8289,3,0,123,12,0,0
2019,39,7,"Tenyeh Dixon","CB",72,185,"Woodson H.D.","Washington","DC",1,0.8282,3,0,168,11,0,0
